Title,Subject,List,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Total Orders","Total Gross Sales","Total Revenue","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value"
"Maker Business","Limor Fried of Adafruit talks about New York City’s upcoming MakeFaire – New York Business Journal","Adafruit Daily","Sep 18, 2015 11:00 am",Friday,309,309,0,0,0,0,0,200,64.72%,309,41,13.27%,44,0,0,0,0,c6a75d7720,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Look sharp with this quick tip!","Adafruit Daily","Sep 18, 2015 11:01 am",Friday,343,343,0,0,0,0,0,222,64.72%,301,12,3.50%,16,0,0,0,0,35a9ea5652,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","Y Combinator Gets Hardcore About Hardware","Adafruit Daily","Sep 21, 2015 11:00 am",Monday,311,311,0,0,0,0,0,180,57.88%,264,10,3.22%,12,0,0,0,0,e7db63e826,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"I’m sensing you’re going to want to read this sensor tip","Adafruit Daily","Sep 21, 2015 11:01 am",Monday,346,346,0,0,0,0,0,227,65.61%,316,30,8.67%,35,0,0,0,0,34e01a620c,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"New to sewing? Check this out","Adafruit Daily","Sep 22, 2015 11:00 am",Tuesday,349,349,0,0,0,0,0,206,59.03%,258,10,2.87%,11,1,0,0,0,af18491742,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Safety first! Bike helmets and wearables","Adafruit Daily","Sep 23, 2015 11:01 am",Wednesday,351,351,0,0,0,0,0,204,58.12%,306,15,4.27%,17,1,0,0,0,6bc8e72986,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","Quirky files for bankruptcy","Adafruit Daily","Sep 23, 2015 11:01 am",Wednesday,315,315,0,0,0,0,0,202,64.13%,304,19,6.03%,22,1,0,0,0,af28c44e3c,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","When hardware kickstarters actually ship","Adafruit Daily","Sep 24, 2015 11:00 am",Thursday,316,316,0,0,0,0,0,203,64.24%,300,69,21.84%,80,0,0,0,0,2d400d60e6,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"The best place to secure your switch","Adafruit Daily","Sep 24, 2015 11:00 am",Thursday,358,358,0,0,0,0,0,203,56.70%,281,5,1.40%,6,0,0,0,0,d335ec281d,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Where should I cut on my Neopixel LED strip?","Adafruit Daily","Sep 25, 2015 11:01 am",Friday,363,363,0,0,0,0,0,222,61.16%,328,19,5.23%,19,0,0,0,0,c8c777ebd3,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","Open-source 3d printer maker Aleph Objects takes growth to third dimension","Adafruit Daily","Sep 28, 2015 11:00 am",Monday,324,324,0,0,0,0,0,200,61.73%,270,29,8.95%,30,0,0,0,0,6c3cc34535,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Take control of your LED sequins","Adafruit Daily","Sep 28, 2015 11:00 am",Monday,369,369,0,0,0,0,0,222,60.16%,284,14,3.79%,14,0,0,0,0,924b87a15e,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","What’s the Future of Online Retail Delivery?","Adafruit Daily","Sep 29, 2015 11:01 am",Tuesday,324,324,0,0,0,0,0,186,57.41%,270,28,8.64%,29,0,0,0,0,29764e54c6,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Read this before mixing wearables and water","Adafruit Daily","Sep 29, 2015 11:01 am",Tuesday,369,369,0,0,0,0,0,229,62.06%,415,4,1.08%,4,1,0,0,0,2444ee9382,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","Drops for Stuff: An Analysis of Reshipping Mule Scams","Adafruit Daily","Sep 30, 2015 11:01 am",Wednesday,327,326,1,0,1,0,0,193,59.20%,286,23,7.06%,25,1,0,0,0,a65dfefbd1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Battery placement: what you need to know","Adafruit Daily","Sep 30, 2015 11:01 am",Wednesday,370,368,2,0,2,0,0,217,58.97%,295,12,3.26%,13,1,0,0,0,8e72affa4e,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Use the FLORA GPS to map your journey","Adafruit Daily","Oct 01, 2015 11:01 am",Thursday,374,374,0,0,0,0,0,225,60.16%,320,18,4.81%,18,0,0,0,0,6474aab244,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","The Curse of a New Building","Adafruit Daily","Oct 01, 2015 11:01 am",Thursday,329,329,0,0,0,0,0,202,61.40%,289,29,8.81%,35,1,0,0,0,0e654512d4,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Need to wash your project? This tip’s a time saver","Adafruit Daily","Oct 02, 2015 11:01 am",Friday,375,375,0,0,0,0,0,210,56.00%,301,3,0.80%,3,0,0,0,0,6445a2be59,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Conductive thread and your sewing machine","Adafruit Daily","Oct 05, 2015 11:00 am",Monday,378,378,0,0,0,0,0,215,56.88%,294,5,1.32%,5,1,0,0,0,c864cf3dc5,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","“A radical experiment at Zappos to end the office workplace as we know it”","Adafruit Daily","Oct 05, 2015 11:01 am",Monday,330,330,0,0,0,0,0,204,61.82%,330,62,18.79%,68,0,0,0,0,d007c595d6,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","Microsoft and Google Call an End to Patent Battles","Adafruit Daily","Oct 06, 2015 11:00 am",Tuesday,329,329,0,0,0,0,0,189,57.45%,269,4,1.22%,4,0,0,0,0,e8ab4895f0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"There are some limits to conductive thread","Adafruit Daily","Oct 06, 2015 11:00 am",Tuesday,377,377,0,0,0,0,0,214,56.76%,312,18,4.77%,21,1,0,0,0,444e8a6940,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Embroidery is vector, cross stitch is raster","Adafruit Daily","Oct 07, 2015 11:02 am",Wednesday,378,378,0,0,0,0,0,222,58.73%,319,25,6.61%,26,0,0,0,0,160da1271e,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"It’s raining, It’s pouring, oh-my-god oh-my-god is my project doomed?!?","Adafruit Daily","Oct 08, 2015 11:01 am",Thursday,401,401,0,0,0,0,0,233,58.10%,313,7,1.75%,7,0,0,0,0,44db98bcd7,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","“Five Techniques I Learned from the Glowforge Launch” – An Open Letter from One Hardware CEO to Another","Adafruit Daily","Oct 08, 2015 11:01 am",Thursday,352,352,0,0,0,0,0,220,62.50%,327,64,18.18%,68,0,0,0,0,94ba460838,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","What is going on at MakerBot ? Our take @makerbot @stratasys #makerbusiness","Adafruit Daily","Oct 09, 2015 11:00 am",Friday,364,364,0,0,0,0,0,231,63.46%,391,34,9.34%,51,0,0,0,0,bddea643e2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Don’t be afraid to sparkle","Adafruit Daily","Oct 09, 2015 11:00 am",Friday,414,414,0,0,0,0,0,233,56.28%,316,16,3.86%,16,0,0,0,0,622aa97a2a,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Electronics,"LED colors: what they tell you","Adafruit Daily","Oct 12, 2015 11:00 am",Monday,472,472,0,0,0,0,0,322,68.22%,577,0,0.00%,0,1,0,0,0,b5f97e92a2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","Update! MakerBot sends Adafruit comments “What is going on at MakerBot?”","Adafruit Daily","Oct 13, 2015 11:00 am",Tuesday,426,425,1,0,1,0,0,256,60.24%,381,3,0.71%,3,1,0,0,0,7da53955a8,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Let’s twist again, like we did to your last jewelry jump ring","Adafruit Daily","Oct 13, 2015 11:00 am",Tuesday,495,494,1,0,1,0,0,304,61.54%,416,18,3.64%,20,1,0,0,0,0a8d0c8787,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Electronics,"Look to ferrites (no, not ferrets, the European polecat) when faced with high frequency","Adafruit Daily","Oct 13, 2015 11:01 am",Tuesday,548,548,0,0,0,0,0,364,66.42%,473,0,0.00%,0,1,0,0,0,578fd4e42f,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Electronics,"Check out this shorthand shortcut","Adafruit Daily","Oct 14, 2015 11:01 am",Wednesday,556,556,0,0,0,0,0,364,65.47%,492,0,0.00%,0,2,0,0,0,ec2874a4af,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","“WeWork Used These Documents To Convince Investors It’s Worth Billions”","Adafruit Daily","Oct 14, 2015 11:01 am",Wednesday,429,428,1,0,1,0,0,251,58.64%,412,42,9.81%,51,1,0,0,0,4dea470b60,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"You gotta get up to teardown","Adafruit Daily","Oct 14, 2015 11:01 am",Wednesday,499,499,0,0,0,0,0,310,62.12%,478,49,9.82%,54,1,0,0,0,41fa0f0e59,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","Square “paid” Starbucks to use Square … and now that’s ending","Adafruit Daily","Oct 15, 2015 11:00 am",Thursday,436,435,1,0,1,0,0,264,60.69%,384,24,5.52%,25,1,0,0,0,f0a9345e73,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
